Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
Nifty India Tourism,2024-01-10,-,-,-,8976.11,-5.87,-.07,57559554,1294.8,65.69,19.44,.18
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-01-10,-,-,-,18757.66,58.87,.31,2211681794,86328.1,32.75,4.59,.89
Nifty EV & New Age Automotive,2024-01-10,-,-,-,3493.89,3.51,.1,81254199,10035.59,37.35,6.24,.64
Nifty500 Multicap India Manufacturing 50:30:20,2024-01-10,16110.8,16161.25,16026.45,16146.35,66.7,.41,290574120,20043.39,35.26,4.34,.75
Nifty Non-Cyclical Consumer,2024-01-10,-,-,-,17925.36,-22.25,-.12,108430807,7888.22,71.61,13.94,.81
Nifty Consumer Durables,2024-01-10,43755.35,43918.8,43566.3,43847.6,158.75,.36,22889953,2652.44,92.94,13.9,.34
Nifty Capital Markets,2024-01-10,-,-,-,3500.87,80.97,2.37,38213060,5349.42,47.01,13.22,.97
Nifty Rural,2024-01-10,-,-,-,16178.66,-17.31,-.11,716062766,19299.65,32.05,4.87,1
Nifty500 Multicap Infrastructure 50:30:20,2024-01-10,15057.65,15122.25,14993.5,15017.8,-22.15,-.15,642746853,13881.61,31.88,4.29,1.07
Nifty Core Housing,2024-01-10,-,-,-,17907.61,54.38,.3,29747578,4881.66,42.37,4.56,.6
Nifty REITs & InvITs,2024-01-10,-,-,-,1146.46,-4.25,-.37,4674799,75.1,30.19,1.84,7.27
Nifty MidSmall IT & Telecom,2024-01-10,-,-,-,11163.56,16.72,.15,409095575,2720.46,1429.75,39.64,.8
Nifty Top 10 Equal Weight,2024-01-10,-,-,-,9809.61,2.9,.03,63775124,11263.96,24.18,4.07,1.06
Nifty Transportation & Logistics,2024-01-10,-,-,-,25820.73,78.05,.3,96563344,7995.38,32.86,6.6,.63
Nifty500 Momentum 50,2024-01-10,-,-,-,64162.98,257.18,.4,400646206,15826.48,31.21,5.54,.72
Nifty500 Shariah,2024-01-10,-,-,-,8226.93,20.3,.25,432985507,28975.5,35.75,6.46,1.19
Nifty50 Shariah,2024-01-10,-,-,-,5628.79,4.07,.07,42269034,6105.05,29.22,6.63,1.73
Nifty Services Sector,2024-01-10,32945.5,33173.65,32945.35,33052.75,45.25,.14,191800927,17411.04,23.38,3.84,1.1
Nifty PSE,2024-01-10,11292.8,11372.95,11226.9,11240.8,-45.2,-.4,213960501,6562.09,13.26,2.5,2.9
Nifty Infrastructure,2024-01-10,9581.25,9631.75,9543.5,9555.25,-19.55,-.2,154429144,10656.83,25.44,3.35,1.11
Nifty Dividend Opportunities 50,2024-01-10,6935.05,6966.1,6923.85,6947.25,15.45,.22,445385694,19752.52,19.73,3.7,2.43
Nifty Commodities,2024-01-10,9845.55,9861.45,9754.85,9803.7,-22.05,-.22,231148690,10667.58,20.79,2.62,1.92
Nifty India Consumption,2024-01-10,12839.1,12872.55,12768.9,12811.6,-15.25,-.12,85237010,10375.88,52.32,10.04,.84
Nifty Realty,2024-01-10,1102.05,1104.2,1087.95,1096.85,-2.15,-.2,7051540,1059.74,56.97,6.24,.35
Nifty PSU Bank,2024-01-10,6738.45,6799.55,6738.45,6762.25,6.1,.09,190136986,2982.79,8.21,1.3,2.2
Nifty MNC,2024-01-10,32582.6,32802.2,32442.65,32761.4,179.4,.55,34482669,4006.72,49.05,10.44,1.66
Nifty Metal,2024-01-10,10214.25,10236.2,10061.85,10222.95,24.6,.24,201286952,5935.77,33.61,2.93,2.07
Nifty Media,2024-01-10,2138.7,2180.6,2130.3,2172.75,34.25,1.6,95380392,1290.77,-,2.4,.37
Nifty IT,2024-01-10,41916.3,42470.5,41916.3,42434.8,488.75,1.17,19498812,3995.39,34.8,8.73,1.85
Nifty FMCG,2024-01-10,65546.85,65685,65029.55,65470.95,-69.4,-.11,24579881,2533.53,52.3,12.74,1.6
Nifty Financial Services,2024-01-10,24410.5,24609.1,24410.5,24477.45,-2.85,-.01,95489163,10431.22,17.46,2.93,.89
Nifty Energy,2024-01-10,44110.95,44314.15,43646,43688.75,-327.95,-.75,93757931,5661.24,15.9,2.47,2.13
Nifty Bank,2024-01-10,52844,53235.25,52817.8,52922.6,-55.5,-.1,240165035,9596.02,14.83,2.38,.95
Nifty Auto,2024-01-10,27099.8,27228.1,26971.65,27083.45,56.25,.21,48022250,5701.04,26.53,5.55,.81
Nifty50 Dividend Points,2024-01-10,-,-,-,194.25,0.0,-,-,-,-,-,-
NIFTY Smallcap 100,2024-01-10,19230.45,19349.5,19222.55,19331.3,151.65,.79,344454962,13102.71,36.04,4.24,.93
NIFTY Midcap 100,2024-01-10,60241.45,60414.8,59896.8,60358.3,204.5,.34,784801149,18840.27,45.11,5.6,.7
Nifty Midcap 50,2024-01-10,16920.4,16972.85,16827.4,16952.05,68.7,.41,621786948,9891.59,51.16,6.21,.67
Nifty 500,2024-01-10,24248.5,24329.45,24191.05,24271.3,26.1,.11,2211681794,86328.1,27.9,4.22,1.04
Nifty 200,2024-01-10,14609.7,14662.6,14573,14616.8,6.0,.04,1406202534,59944.39,26.88,4.13,1.08
Nifty200 Value 30,2024-01-10,-,-,-,14416.35,-5.25,-.04,420834762,11608.53,12.86,1.83,3
Nifty 100,2024-01-10,26879.95,26994.15,26828.5,26885.25,-4.9,-.02,621401385,41104.11,24.87,3.93,1.15
Nifty Low Volatility 50,2024-01-10,-,-,-,26371.36,-6.07,-.02,111460412,20908.66,38.31,6.13,.91
Nifty Alpha 50,2024-01-10,60480.65,60563.15,60062.15,60372.0,-37.8,-.06,231901944,13808.38,41.59,6.7,.66
Nifty Pharma,2024-01-10,23294.25,23328.65,23084.05,23296.55,15.35,.07,20875346,2828.81,38.82,5.65,.58
Nifty100 Equal Weight,2024-01-10,35413.7,35522.1,35303.35,35396.55,2.5,.01,621401385,41104.11,25.69,4.08,1.16
Nifty MidSmallcap400 Momentum Quality 100,2024-01-10,-,-,-,54704.61,185.44,.34,241267861,12804.83,34.87,6.39,.91
Nifty High Beta 50,2024-01-10,-,-,-,4151.41,5.94,.14,973317758,15688.63,23.63,2.47,1.25
Nifty Smallcap250 Quality 50,2024-01-10,-,-,-,30874.42,273.1,.89,139637844,5891.37,29.72,5.33,1.09
Nifty Midcap150 Momentum 50,2024-01-10,67156.6,67414.85,66779.5,67311.25,264.3,.39,157747282,10036.37,36.58,5.51,.81
Nifty200 Alpha 30,2024-01-10,28826.85,28968.85,28710.6,28864.35,79.7,.28,135780533,10839.55,26,5.85,1.23
Nifty100 ESG Sector Leaders,2024-01-10,4317.75,4336.1,4309.45,4319.1,-0.1,0,282315883,29533,28.4,4.32,.96
Nifty India Manufacturing,2024-01-10,15637.65,15662.2,15538.15,15640.75,28.7,.18,258377222,20234.85,34.16,4.99,1.04
Nifty200 Momentum 30,2024-01-10,37652.7,37886.45,37620.6,37735.85,146.95,.39,279062898,13585.86,24.38,5.03,1.35
Nifty 50 Futures TR Index,2024-01-10,-,-,-,27807.41,-16.95,-.06,-,-,-,-,-
Nifty 50 Arbitrage,2024-01-10,-,-,-,2373.19,0.55,.02,-,-,-,-,-
Nifty 50 Futures Index,2024-01-10,-,-,-,7175.39,-5.77,-.08,-,-,-,-,-
NIFTY Midcap150 Quality 50,2024-01-10,25929.85,26114.8,25855.3,26099.9,179.4,.69,41731962,5101.74,42.02,9.99,1.1
NIFTY200 Quality 30,2024-01-10,23337.85,23418.4,23217.45,23375.9,39.75,.17,54415020,8428.16,38.12,11.55,1.63
NIFTY Alpha Quality Value Low-Volatility 30,2024-01-10,-,-,-,22773.0,56.27,.25,116141245,11899.9,23.3,5.43,1.83
Nifty Smallcap250 Momentum Quality 100,2024-01-10,-,-,-,53401.96,272.29,.51,284386097,11755.82,29.42,4.85,.93
NIFTY100 Quality 30,2024-01-10,6266.95,6290.9,6233.5,6274.75,7.05,.11,69020277,11447.56,35.94,9.43,1.56
NIFTY Alpha Quality Low-Volatility 30,2024-01-10,-,-,-,25798.87,40.78,.16,56473512,9106.79,33.99,8.9,1.34
Nifty CPSE,2024-01-10,7259.45,7292.75,7194.35,7202.8,-55.25,-.76,91310089,2667.91,14.6,2.71,2.76
Nifty50 Value 20,2024-01-10,14425.3,14496.8,14405.85,14472.05,40.45,.28,149386481,10804.06,21.43,3.82,1.94
