Index_Name,Index_Date,Open_Index_Value,High_Index_Value,Low_Index_Value,Closing_Index_Value,Points_Change,Change(%),Volume,Turnover_(Rs._Cr.),P/E,P/B,Div_Yield
Nifty 100,2024-05-11,24783.6,25080.5,24671.7,25060.8,203.05,.82,676724812,43307.83,23.1,3.66,1.26
Nifty Financial Services,2024-05-11,23579.1,24174,23419.8,24128.9,468.65,1.98,124281812,15332.02,16.87,2.92,.89
Nifty Energy,2024-05-11,38427.25,38967.65,38338.35,38924.9,320.15,.83,91807806,4486.44,15.36,2.2,2.7
Nifty Commodities,2024-05-11,8746.9,8911.15,8738.1,8906.5,146.35,1.67,251586936,9002.66,21.03,2.37,2.31
Nifty India Consumption,2024-05-11,11400.1,11444.05,11320.85,11434.8,2.2,.02,96737407,10003.57,47.04,8.96,.88
Nifty PSU Bank,2024-05-11,6759,6898.95,6736.2,6886.5,124.1,1.84,199652284,4173.82,7.96,1.34,2.16
Nifty Pharma,2024-05-11,22613.85,22788.15,22381.6,22661.25,22.95,.1,24723184,3674.61,37.13,5.5,.59
Nifty Realty,2024-05-11,978.75,988.65,966.65,985.6,6.1,.62,9079247,1206.99,49.61,5.61,.4
Nifty Metal,2024-05-11,9245.5,9525.3,9234.1,9505.4,262.5,2.84,141194820,4003.21,32.31,2.72,2.22
Nifty Media,2024-05-11,1974.6,1996.25,1961.75,1978.95,-4.6,-.23,20518348,343.67,-,2.31,.4
Nifty IT,2024-05-11,40345.45,40658.25,40225.2,40424.6,2.8,.01,11904718,2234.87,32,8.32,2.01
Nifty FMCG,2024-05-11,58601.5,58871.25,58242.35,58542.2,-201.5,-.34,22819675,1835.88,46.46,11.39,1.65
Nifty MNC,2024-05-11,29040.75,29219.7,28921.1,29161.85,116.5,.4,28862996,5098.81,44.07,9.3,1.79
Nifty CPSE,2024-06-09,7142.6,7149.15,6956.75,7007.7,-120.7,-1.69,169875987,5313.21,14.34,2.93,2.82
Nifty50 TR 1x Inverse,2024-06-09,163,164.9,162.55,164.55,1.9,1.17,-,-,-,-,-
Nifty50 Value 20,2024-06-09,14232.65,14269.45,14019.9,14043.65,-223.0,-1.56,208401285,13628.85,20.83,4.01,2.01
Nifty Midcap Liquid 15,2024-06-09,14190.6,14200.35,13957.65,14003.15,-188.65,-1.33,67153283,3193.71,39.91,4.82,.63
Nifty Shariah 25,2024-06-09,-,-,-,9222.97,-73.08,-.79,110420502,9022.11,30.38,6.82,1.66
India VIX,2024-06-09,14.2075,15.6725,12.3525,15.22,1.01,7.11,-,-,-,-,-
Nifty Growth Sectors 15,2024-06-09,12712.35,12775.5,12575.7,12611.3,-125.45,-.98,45528780,6756.6,34.95,9.21,1.75
Nifty50 TR 2x Leverage,2024-06-09,21727.5,21857.1,21219.95,21308.2,-512.3,-2.35,-,-,-,-,-
Nifty 50 Futures TR Index,2024-06-09,-,-,-,26658.46,-348.68,-1.29,-,-,-,-,-
Nifty50 PR 2x Leverage,2024-06-09,14931.5,15020.55,14582.7,14643.35,-352.05,-2.35,-,-,-,-,-
NIFTY100 Quality 30,2024-06-09,6108.4,6131.45,6059.5,6072.0,-40.6,-.66,116116863,14149.48,34.76,10.17,1.61
Nifty 50 Futures Index,2024-06-09,-,-,-,6912.47,-91.8,-1.31,-,-,-,-,-
Nifty 50 Arbitrage,2024-06-09,-,-,-,2371.22,2.41,.1,-,-,-,-,-
Nifty India Corporate Group Index - Mahindra Group,2024-06-09,-,-,-,32284.93,-301.63,-.93,12022314,1303.5,32.47,4.4,1.32
Nifty India Corporate Group Index - Aditya Birla Group,2024-06-09,-,-,-,8330.46,-212.17,-2.48,1915011346,3602.77,701.32,3.9,.51
Nifty India Corporate Group Index - Tata Group,2024-06-09,-,-,-,20326.48,-159.69,-.78,81720978,5925.98,39.45,9.21,1.12
Nifty100 Liquid 15,2024-06-09,6878.75,6886.4,6762.7,6785.7,-98.35,-1.43,129809141,14358.78,21,3.4,.87
Nifty50 PR 1x Inverse,2024-06-09,196.4,198.7,195.85,198.3,2.3,1.17,-,-,-,-,-
Nifty100 Equal Weight,2024-06-09,34589.35,34638.75,34167.3,34228.1,-374.9,-1.08,726653303,49835.87,26.34,4.68,1.12
Nifty PSU Bank,2024-06-09,6875.75,6879.7,6632.05,6655.05,-246.15,-3.57,193572335,5227.17,8.13,1.29,2.22
Nifty Alpha 50,2024-06-09,59788.25,59900.25,58735.25,58824.25,-896.8,-1.5,430620968,13690.38,30.57,5.33,.74
Nifty Financial Services,2024-06-09,23750.8,23855.2,23473,23529.75,-329.75,-1.38,145448339,14360.6,16.76,3.43,.92
Nifty FMCG,2024-06-09,63694.9,63908.5,62905.8,63175.7,-524.7,-.82,33004578,3202.08,49.64,12.29,1.69
Nifty IT,2024-06-09,42607.85,42983.6,42167.15,42228.9,-415.75,-.97,22459581,4588.71,34.51,8.78,1.84
Nifty Media,2024-06-09,2089.1,2095.3,2047.7,2059.9,-22.95,-1.1,54511313,543.57,-,2.17,.39
Nifty Metal,2024-06-09,9224.85,9263.45,9101.95,9161.15,-51.8,-.56,99906744,3364.21,30.49,2.81,1.67
Nifty MNC,2024-06-09,30978.8,31129.25,30675.2,30708.3,-296.4,-.96,32496423,4490.25,46.4,10.56,1.43
Nifty Pharma,2024-06-09,23154.7,23233.15,22988.9,23043.4,-113.3,-.49,21128194,2658.37,38.48,6.16,.59
Nifty India Corporate Group Index - Tata Group 25% Cap,2024-06-09,18354.65,18411.35,18124.55,18184.15,-173.75,-.95,59150422,4140.61,40.83,7.26,.9
Nifty High Beta 50,2024-06-09,-,-,-,4039.37,-90.49,-2.19,2479069546,18203.02,20.49,2.16,1.39
Nifty Realty,2024-06-09,1046.05,1049.7,1028.85,1032.1,-9.85,-.95,9051284,1348.09,56.12,6.13,.4
Nifty Commodities,2024-06-09,9418.85,9427.15,9255,9291.95,-121.85,-1.29,230195121,11820.66,19.92,2.72,1.84
Nifty Dividend Opportunities 50,2024-06-09,6867.9,6874.45,6749.55,6763.7,-112.3,-1.63,538899775,21232.86,19.32,3.86,2.41
Nifty Infrastructure,2024-06-09,9321.4,9332.25,9158.2,9183.9,-134.85,-1.45,199970838,13345.25,24.35,3.58,1.21
Nifty PSE,2024-06-09,11283.25,11292.5,11013.05,11055.2,-226.35,-2.01,283249419,9679.09,12.92,2.83,2.94
Nifty Services Sector,2024-06-09,31996.7,32140.9,31653.85,31718.7,-369.6,-1.15,278489728,21894.88,22.42,4.33,1.15
Nifty50 Shariah,2024-06-09,-,-,-,5558.79,-28.31,-.51,58875531,6977.81,29.46,7.04,1.74
Nifty500 Shariah,2024-06-09,-,-,-,8035.72,-65.34,-.81,476281132,35199.41,37.36,7.2,1.1
Nifty Low Volatility 50,2024-06-09,-,-,-,25614.32,-176.9,-.69,210279369,26054.99,33.77,5.91,1.02
Nifty India Consumption,2024-06-09,12125.05,12162.75,12030.5,12064.5,-62.75,-.52,142960020,11709.23,52.81,9.76,.95
NIFTY500 Value 50,2024-06-09,-,-,-,14968.01,-306.19,-2,533064600,16508.78,12.69,1.86,2.96
NIFTY100 Alpha 30,2024-06-09,-,-,-,20777.91,-332.67,-1.58,367873182,13787.37,20.11,4.54,1.3
Nifty Smallcap 50,2024-06-09,9342.5,9377.95,9215.75,9226.6,-95.9,-1.03,190989900,6866.05,27.8,4.27,.81
Nifty 10 yr Benchmark G-Sec,2024-06-09,2386.67,2388.09,2386.67,2386.75,0.53,.02,-,-,-,-,-
Nifty Composite G-sec Index,2024-06-09,2793.75,2795.18,2793.34,2793.34,0.12,0,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,2024-06-09,3316.66,3318.77,3314.94,3315.1,-0.93,-.03,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,2024-06-09,2989.33,2990.83,2988.26,2988.26,-0.5,-.02,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,2024-06-09,2917.22,2918.39,2917.22,2917.57,0.91,.03,-,-,-,-,-
Nifty 8-13 yr G-Sec,2024-06-09,2695.9,2697.43,2695.74,2695.74,0.35,.01,-,-,-,-,-
Nifty500 Equal Weight,2024-06-09,-,-,-,15033.05,-170.91,-1.12,3870422486,99765.62,33.18,4.66,.88
NIFTY50 Equal Weight,2024-06-09,32346.4,32447.9,32011.95,32080.2,-287.8,-.89,311671856,33001.17,24.79,4.44,1.3
Nifty India Tourism,2024-06-09,-,-,-,8851.18,-140.14,-1.56,133056003,2219.12,66.66,23.48,.17
Nifty500 Multicap Momentum Quality 50,2024-06-09,-,-,-,48289.09,-722.34,-1.47,149696095,10414.9,23.41,6.43,1.4
Nifty Top 10 Equal Weight,2024-06-09,-,-,-,9573.83,-120.59,-1.24,71995174,12067.35,23.9,4.72,1.24
Nifty200 Value 30,2024-06-09,-,-,-,13836.05,-291.2,-2.06,447327481,14986.48,12.37,1.94,2.88
Nifty500 Momentum 50,2024-06-09,-,-,-,61362.34,-1026.85,-1.65,293228283,13053.41,29.81,5.8,.76
Nifty MidSmallcap400 Momentum Quality 100,2024-06-09,-,-,-,53623.48,-716.14,-1.32,193345201,12190.78,34.2,6.93,.9
Nifty Smallcap250 Momentum Quality 100,2024-06-09,-,-,-,53165.36,-635.75,-1.18,222605987,9922.01,29.3,5.28,.96
Nifty Smallcap250 Quality 50,2024-06-09,-,-,-,30841.13,-199.66,-.64,76263987,4759.82,29.75,5.92,1.18
Nifty Midcap150 Momentum 50,2024-06-09,65694.75,65704.9,64409.1,64510.6,-1082.45,-1.65,207440313,10406.76,35.07,5.69,.82
Nifty200 Alpha 30,2024-06-09,29062.35,29076.15,28366.3,28420.05,-687.7,-2.36,2168328992,13983.36,25.63,5.27,1.26
Nifty100 ESG Sector Leaders,2024-06-09,4195.75,4209.3,4151.3,4159.25,-43.45,-1.03,350312134,34403.21,27.33,4.76,.99
Nifty India Manufacturing,2024-06-09,15075.95,15096.1,14881.9,14906.0,-168.15,-1.12,264673698,19596,32.54,5.27,1.01
Nifty200 Momentum 30,2024-06-09,36586.05,36607.65,35871.2,35954.3,-658.4,-1.8,224075142,13264.23,23.26,5.19,1.27
NIFTY Midcap150 Quality 50,2024-06-09,25707.05,25839.8,25407.1,25444.7,-209.3,-.82,37843713,4848.02,40.97,10.3,1.09
NIFTY200 Quality 30,2024-06-09,22909.4,23003.45,22706.65,22743.4,-164.55,-.72,96800936,10814.77,37.07,11.61,1.67
NIFTY Alpha Quality Value Low-Volatility 30,2024-06-09,-,-,-,22283.52,-256.17,-1.14,164949012,14415.37,22.79,5.94,1.85
NIFTY Alpha Quality Low-Volatility 30,2024-06-09,-,-,-,24926.38,-208.3,-.83,95914023,11016.62,32.83,9.47,1.39
NIFTY Quality Low-Volatility 30,2024-06-09,-,-,-,18697.23,-93.21,-.5,85339889,13508.57,35.78,9.57,1.32
NIFTY Alpha Low-Volatility 30,2024-06-09,30216.3,30271.75,29849.85,29899.85,-356.15,-1.18,159262474,18206.35,28.86,5.15,.92
Nifty100 Low Volatility 30,2024-06-09,20749.9,20848.55,20614.3,20651.15,-125.95,-.61,111489289,16921.04,36.32,7.43,1.07
NIFTY100 Enhanced ESG,2024-06-09,-,-,-,5070.16,-49.56,-.97,641676857,45349.93,25.41,4.92,1.16
Nifty 10 yr Benchmark G-Sec (Clean Price),2024-06-09,887.14,887.68,887.14,887.17,0.03,0,-,-,-,-,-
Nifty 1D Rate Index,2024-06-09,-,-,-,2324.95,0.4,.02,-,-,-,-,-
Nifty50 USD,2024-06-09,-,-,-,10258.07,-116.3,-1.12,-,-,-,-,-
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-06-09,-,-,-,18259.85,-219.65,-1.19,3870422486,99765.62,31.33,4.78,.91
Nifty MidSmallcap 400,2024-06-09,20820.25,20864.1,20494.6,20524.55,-258.1,-1.24,3143769183,49929.75,38.54,5.16,.75
Nifty Midcap 150,2024-06-09,22003.95,22030.85,21639.4,21675.8,-301.1,-1.37,2471492805,26265.59,43.75,5.54,.7
Nifty IPO,2024-06-09,-,-,-,2268.3,-25.85,-1.13,162240004,5468.46,56.2,12.24,.16
Nifty Midcap Select,2024-06-09,13263.85,13274.9,13033.45,13066.05,-211.35,-1.59,1971763458,7168.18,63.17,6.93,.8
NIFTY LargeMidcap 250,2024-06-09,16573.6,16595.65,16336.4,16365.6,-211.65,-1.28,3198146108,76101.46,31.09,4.88,.94
NIFTY SME EMERGE,2024-06-09,-,-,-,16343.64,-12.46,-.08,-,-,110.2,10.79,.08
Nifty Oil & Gas,2024-06-09,13314.25,13353.35,12996.45,13024.55,-287.75,-2.16,133877758,6887.45,12.63,2.34,2.69
Nifty Financial Services 25/50,2024-06-09,26708.3,26820.15,26372.75,26438.25,-361.1,-1.35,145448339,14360.6,17.55,3.55,.92
Nifty Healthcare Index,2024-06-09,14494.95,14538.45,14401.25,14449.8,-49.15,-.34,23380485,2881.56,43.21,6.68,.53
Nifty500 Multicap 50:25:25,2024-06-09,16672.8,16708.4,16444.2,16471.7,-197.9,-1.19,3870422486,99765.62,29.15,4.67,.97
Nifty Microcap 250,2024-06-09,25363.7,25468.75,24927.65,24957.35,-297.0,-1.18,344419671,7013.49,30.78,3.85,.49
Nifty Total Market,2024-06-09,13383.55,13411.1,13206.3,13230.0,-160.5,-1.2,4214842157,106779.1,27.03,4.52,1.04
Nifty India Digital,2024-06-09,9517.05,9557.6,9402.85,9415.8,-107.05,-1.12,2043238124,12582.7,326.46,13.86,1.01
Nifty Mobility,2024-06-09,-,-,-,22035.82,-255.51,-1.15,204180023,13054.92,28.18,6.31,.9
Nifty Smallcap 250,2024-06-09,18547.85,18627.45,18280.1,18307.85,-187.5,-1.01,672276378,23664.16,31.81,4.61,.85
Nifty India Defence,2024-06-09,-,-,-,6856.74,-123.87,-1.77,38850533,3499.98,56.28,16.1,.46
Nifty Housing,2024-06-09,-,-,-,11609.68,-136.55,-1.16,448666012,19537.03,27.37,3.7,.86
Nifty Transportation & Logistics,2024-06-09,-,-,-,24578.75,-273.98,-1.1,165090405,8927.18,31.23,6.92,.67
Nifty MidSmall Financial Services,2024-06-09,-,-,-,15328.72,-242.11,-1.55,235176219,4978.96,23.06,2.92,.7
Nifty MidSmall Healthcare,2024-06-09,42423.05,42599.8,42140.3,42293.1,-87.65,-.21,58374584,3291.98,54.39,6.85,.72
Nifty MidSmall IT & Telecom,2024-06-09,-,-,-,11358.88,-214.61,-1.85,1986949682,7553.35,-,31.9,.79
Nifty MidSmall India Consumption,2024-06-09,-,-,-,19521.6,-119.92,-.61,48840194,3957.73,65.57,8.94,.43
Nifty REITs & InvITs,2024-06-09,-,-,-,1130.18,2.67,.24,5377323,118.44,30.3,1.8,7.29
Nifty Core Housing,2024-06-09,-,-,-,17174.76,-119.34,-.69,35599808,5241.72,40.11,4.65,.63
Nifty500 Multicap Infrastructure 50:30:20,2024-06-09,14833.15,14845.9,14571.1,14596.45,-231.75,-1.56,2259814681,20639.66,30.27,4.24,1.05
Nifty Rural,2024-06-09,-,-,-,15442.62,-179.64,-1.15,2225726619,25940.06,30.53,4.81,1.06
Nifty Consumer Durables,2024-06-09,41921.55,41932.9,41339.3,41531.1,-342.7,-.82,14416071,2315.02,87.92,13.68,.35
Nifty Non-Cyclical Consumer,2024-06-09,-,-,-,17204.22,-76.59,-.44,157777036,10443.48,68.47,13.93,.85
Nifty500 Multicap India Manufacturing 50:30:20,2024-06-09,15710.55,15731.35,15522.3,15550.95,-158.45,-1.01,243982861,17593.24,34.52,4.56,.77
Nifty EV & New Age Automotive,2024-06-09,-,-,-,3321.63,-43.62,-1.3,96234212,11228.67,35.09,6.49,.69
Nifty Financial Services Ex-Bank,2024-06-09,-,-,-,27251.11,-290.5,-1.05,137922952,9021.99,25.13,3.63,.78
Nifty Private Bank,2024-06-09,25611.4,25719.85,25257.85,25328.8,-396.7,-1.54,101198776,6363,15.33,2.82,.75
NIFTY100 ESG,2024-06-09,5076.2,5094.85,5022.7,5032.65,-49.45,-.97,642391578,45531.2,25.42,4.92,1.16
Nifty50 Dividend Points,2024-06-09,-,-,-,194.25,0.0,-,-,-,-,-,-
Nifty 50,2024-06-09,25093.7,25168.75,24801.3,24852.15,-292.95,-1.17,311671856,33001.17,23.11,4.2,1.23
Nifty Next 50,2024-06-09,75473.4,75509.7,74315.9,74462.0,-1023.95,-1.36,414981447,16834.7,26.5,5.07,1.13
Nifty 100,2024-06-09,26195.4,26254.85,25877.45,25928.55,-310.55,-1.18,726653303,49835.87,24.12,4.36,1.18
Nifty 200,2024-06-09,14267.75,14292.15,14080.15,14107.4,-178.6,-1.25,3160042273,72183.54,26.02,4.47,1.09
Nifty 500,2024-06-09,23746,23794.35,23434.9,23477.7,-285.1,-1.2,3870422486,99765.62,26.9,4.55,1.06
Nifty Midcap 50,2024-06-09,16703.2,16711.25,16384.2,16413.95,-291.2,-1.74,2247638542,12443.79,47.23,5.66,.71
NIFTY Midcap 100,2024-06-09,59489.55,59527.15,58396.8,58501.95,-946.55,-1.59,2433388970,22347.67,43.67,5.13,.67
NIFTY Smallcap 100,2024-06-09,19570,19640.6,19255.7,19276.05,-244.9,-1.25,375584505,11215.1,30.23,4.48,.82
Nifty Auto,2024-06-09,25817.65,25893.15,25435.9,25527.15,-308.15,-1.19,35229024,4624.57,25.1,5.81,.86
Nifty Bank,2024-06-09,51200.4,51380.05,50447.3,50576.85,-896.2,-1.74,185967220,10456.6,14.68,2.81,.93
Nifty Energy,2024-06-09,42974.1,43035.1,42030.4,42212.45,-699.15,-1.63,156035664,7820.98,15.59,2.69,2.31
Nifty Core Housing,2024-06-11,-,-,-,16607.08,306.19,1.88,26403825,6754.43,39.23,4.23,.62
Nifty REITs & InvITs,2024-06-11,-,-,-,1167.54,-6.18,-.53,2894585,51.17,30.87,1.88,7.49
Nifty 100,2024-06-11,25167.5,25443.3,25078.3,25403.15,342.35,1.37,760352508,48071.42,23.42,3.71,1.26
Nifty MidSmall IT & Telecom,2024-06-11,-,-,-,10768.44,370.07,3.56,415083365,4360.16,405.43,38.24,.84
Nifty500 Multicap Infrastructure 50:30:20,2024-06-11,13840.05,14052.6,13793.8,14039.85,259.25,1.88,709178900,16019.66,31.37,4.01,1.15
Nifty MidSmall India Consumption,2024-06-11,-,-,-,19709.38,434.72,2.26,34445908,6293.92,65.71,9.54,.51
Nifty Rural,2024-06-11,-,-,-,14909.92,164.32,1.11,639022644,19931.35,29.24,4.49,1.09
Nifty EV & New Age Automotive,2024-06-11,-,-,-,3183.65,59.13,1.89,77901497,8427.45,34.52,5.69,.7
Nifty India New Age Consumption,2024-06-11,-,-,-,11475.14,220.01,1.95,557140428,19466.12,59.17,8.93,.51
Nifty Consumer Durables,2024-06-11,39085.1,40170.45,39048.25,40112.2,817.8,2.08,22453958,6377.99,80.33,12.72,.36
Nifty Non-Cyclical Consumer,2024-06-11,-,-,-,16151.97,204.34,1.28,126718178,12657.12,63.49,12.56,.92
Nifty500 Multicap India Manufacturing 50:30:20,2024-06-11,15042.95,15291.7,14980,15278.7,305.3,2.04,353057242,24175.35,34.72,4.11,.79
Nifty MidSmall Healthcare,2024-06-11,43069.6,43622.5,42859.35,43527.95,672.15,1.57,89123069,4840.98,55.3,6.34,.83
Nifty Capital Markets,2024-06-11,-,-,-,3797.59,70.22,1.88,22250460,4063.07,45.52,14.34,.92
Nifty MidSmall Financial Services,2024-06-11,-,-,-,15779.77,132.59,.85,186209810,6723.8,23.58,2.87,.62
Nifty Total Market,2024-06-11,12853,13005.75,12819.8,12995.0,200.45,1.57,2346817360,98423.88,26.7,3.99,1.1
Nifty Housing,2024-06-11,-,-,-,11705.92,193.08,1.68,461806303,21283.32,27.02,3.32,.87
Nifty Financial Services Ex-Bank,2024-06-11,-,-,-,26197.45,170.92,.66,94845711,6531.97,22.85,3.31,.77
Nifty India Defence,2024-06-11,-,-,-,6514.88,210.25,3.33,60968518,3732.11,51.62,12.82,.54
Nifty Mobility,2024-06-11,-,-,-,20625.45,408.98,2.02,235068506,12139.25,28.18,5.19,.96
Nifty India Digital,2024-06-11,9029.4,9276.35,8995.8,9260.25,303.25,3.39,505033295,13381.51,429.71,17.63,1.04
Nifty500 LargeMidSmall Equal-Cap Weighted,2024-06-11,-,-,-,17941.76,313.44,1.78,2157801128,93211.09,31.28,4.4,.94
Nifty Microcap 250,2024-06-11,24982.85,25362.2,24939.15,25331.45,498.35,2.01,189016232,5212.79,35.66,3.7,.5
Nifty500 Multicap 50:25:25,2024-06-11,15982.2,16185.7,15945.55,16174.25,266.5,1.68,2157801128,93211.09,28.86,4.2,1.02
Nifty Healthcare Index,2024-06-11,14440.6,14601.65,14403.25,14572.25,186.8,1.3,33278065,4057.72,42.76,6.14,.52
Nifty Financial Services 25/50,2024-06-11,26240.45,26300,26116.75,26233.65,74.6,.29,80546005,10142.95,17.09,3.06,.89
Nifty Oil & Gas,2024-06-11,11325.55,11551.65,11283.55,11530.95,285.8,2.54,135443224,5900.2,13.37,1.75,3
NIFTY SME EMERGE,2024-06-11,-,-,-,16875.25,321.62,1.94,-,-,125.2,11.63,.06
NIFTY LargeMidcap 250,2024-06-11,15860.95,16073.05,15826.7,16058.7,273.35,1.73,1632553458,73411.72,30.67,4.46,.99
Nifty Midcap Select,2024-06-11,12431.85,12676.55,12423.45,12654.95,283.1,2.29,448916192,8764.13,53.55,6.74,.8
Nifty Transportation & Logistics,2024-06-11,-,-,-,23205.07,425.9,1.87,136359428,7641.17,29.94,5.94,.7
Nifty India Tourism,2024-06-11,-,-,-,8204.25,198.23,2.48,60338767,1569.9,69.17,17.77,.19
NIFTY Quality Low-Volatility 30,2024-06-11,-,-,-,17724.03,267.23,1.53,89803564,14631.85,33.79,8.22,1.47
NIFTY100 Alpha 30,2024-06-11,-,-,-,19246.25,373.96,1.98,314607387,14191.06,24.77,5.23,1.69
Nifty 1D Rate Index,2024-06-11,-,-,-,2349.86,0.4,.02,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),2024-06-11,887.55,888.69,886.14,887.59,0.03,0,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,2024-06-11,2414.88,2417.95,2411.04,2414.97,0.54,.02,-,-,-,-,-
Nifty Composite G-sec Index,2024-06-11,2829.65,2832,2824.8,2828.99,-0.12,0,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,2024-06-11,3362.94,3363.18,3352.68,3359.98,-2.32,-.07,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,2024-06-11,3030.36,3032.61,3025.71,3028.97,-0.81,-.03,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,2024-06-11,2951.54,2951.82,2949.5,2950.74,-0.25,-.01,-,-,-,-,-
Nifty 8-13 yr G-Sec,2024-06-11,2731.7,2734.95,2725.84,2731.32,0.14,.01,-,-,-,-,-
Nifty Top 20 Equal Weight,2024-06-11,-,-,-,9012.34,96.49,1.08,138234772,21657.02,23.39,4.39,1.16
Nifty Top 15 Equal Weight,2024-06-11,-,-,-,9804.57,109.85,1.13,115777518,17806.36,22.39,3.89,1.15
Nifty500 Multicap Momentum Quality 50,2024-06-11,-,-,-,46800.34,1316.94,2.9,177668896,14181.06,22.66,5.52,1.64
Nifty Top 10 Equal Weight,2024-06-11,-,-,-,9440.59,123.06,1.32,95541283,14410.99,22.63,3.91,1.12
Nifty200 Value 30,2024-06-11,-,-,-,13385.97,205.55,1.56,405707974,10694.91,12.92,1.7,3.36
Nifty500 Momentum 50,2024-06-11,-,-,-,60814.67,1592.51,2.69,407477383,19736.12,29.34,5.25,.77
Nifty MidSmallcap400 Momentum Quality 100,2024-06-11,-,-,-,52850.81,1592.84,3.11,224013479,15520.55,33.51,6.17,.95
Nifty Smallcap250 Momentum Quality 100,2024-06-11,-,-,-,51973.0,1066.54,2.1,213780793,9123.66,29.03,4.72,.98
Nifty Smallcap250 Quality 50,2024-06-11,-,-,-,30040.78,581.84,1.98,90772069,4719.1,28.79,5.19,1.15
Nifty200 Alpha 30,2024-06-11,26243.55,26745.8,26212.5,26712.65,600.55,2.3,182509258,14904.62,26.11,5.41,1.44
Nifty100 ESG Sector Leaders,2024-06-11,4034.7,4081.95,4021.6,4075.8,58.3,1.45,381991973,35735.97,26.64,4.08,1.03
Nifty India Manufacturing,2024-06-11,14322.95,14532.85,14258.55,14513.15,257.55,1.81,346376601,24825.88,33.71,4.63,1.12
Nifty200 Momentum 30,2024-06-11,34690.5,35262.3,34553.7,35216.5,681.4,1.97,257894379,16541.54,22.17,4.69,1.61
NIFTY Midcap150 Quality 50,2024-06-11,24620.85,25051.4,24620.85,25021.55,464.25,1.89,52487521,6221.75,39.82,9.58,1.15
NIFTY200 Quality 30,2024-06-11,21294.25,21738,21280.3,21704.8,507.7,2.4,116186956,12323.13,34.99,10.7,1.93
NIFTY Alpha Quality Value Low-Volatility 30,2024-06-11,-,-,-,21324.97,422.12,2.02,186472582,16269.05,21.57,5.08,2.09
NIFTY Alpha Quality Low-Volatility 30,2024-06-11,-,-,-,23617.32,401.03,1.73,113324115,12300.49,30.99,8.14,1.56
Nifty IPO,2024-06-11,-,-,-,2236.17,44.82,2.05,142875024,7345.06,62.65,11.06,.14
NIFTY Alpha Low-Volatility 30,2024-06-11,28363.75,28628.2,28278.05,28562.1,261.5,.92,137387010,16547.7,27.26,4.49,.95
Nifty100 Low Volatility 30,2024-06-11,19669.85,19885.45,19629.05,19838.2,225.95,1.15,122512722,20812.23,32.93,6.12,1.05
NIFTY500 Value 50,2024-06-11,-,-,-,14644.83,192.82,1.33,535188453,13383.43,12.86,1.65,3.38
Nifty Midcap150 Momentum 50,2024-06-11,63347.5,64904.65,63347.5,64817.1,1845.5,2.93,236838255,15182.77,36,5.31,.85
Nifty Midcap 150,2024-06-11,20972.9,21324.2,20945.9,21298.5,436.4,2.09,872200950,25340.31,44,5.55,.73
Nifty India Corporate Group Index - Aditya Birla Group,2024-06-11,-,-,-,8037.66,68.34,.86,386407661,1523.13,526.11,3.66,.52
Nifty Smallcap 50,2024-06-11,8992.9,9142.2,8972,9135.4,180.05,2.01,217975581,8463.2,32.72,3.89,.79
Nifty MidSmallcap 400,2024-06-11,19888.35,20203.5,19852.95,20184.75,398.5,2.01,1397448620,45139.67,39.14,5.03,.77
Nifty PSE,2024-06-11,10219.3,10411.55,10181.1,10389.95,243.6,2.4,320316514,8758.63,13.29,2.3,3.43
Nifty Infrastructure,2024-06-11,8742.3,8876.35,8701.3,8857.15,151.3,1.74,202360747,12066.71,24.94,3.1,1.2
Nifty Dividend Opportunities 50,2024-06-11,6475.8,6585.45,6451,6573.7,129.75,2.01,546513119,22609.6,18.92,3.51,2.7
Nifty Commodities,2024-06-11,8960.3,9073.05,8878,9062.0,155.5,1.75,268917374,10719.97,21.4,2.42,2.27
Nifty India Consumption,2024-06-11,11457,11586.9,11428.85,11570.15,135.35,1.18,129114886,12336.49,47.59,9.07,.95
Nifty Realty,2024-06-11,993.5,1018.5,992.45,1011.05,25.45,2.58,8731405,1140.35,51.47,5.75,.39
Nifty PSU Bank,2024-06-11,6929.05,7001.45,6890.35,6982.5,96.0,1.39,183498563,3323.65,8.07,1.35,2.13
Nifty Pharma,2024-06-11,22781.15,22979.35,22687.6,22920.35,259.1,1.14,31576146,4043.41,37.58,5.56,.6
Nifty MNC,2024-06-11,29211.3,29537.2,29127.3,29511.0,349.15,1.2,28223269,3837.36,44.61,9.41,1.84
Nifty Metal,2024-06-11,9557.7,9671.25,9399.85,9656.45,151.05,1.59,173663944,5216.4,32.82,2.77,2.18
Nifty Media,2024-06-11,1984.5,2013.8,1979.75,2006.85,27.9,1.41,17569187,269.18,-,2.34,.39
Nifty50 Shariah,2024-06-11,-,-,-,5222.03,82.29,1.6,64888247,8140.64,27.65,6.14,2.04
